"year"	"agegrp"	"med_income"	"inc2000"	"inc4000"	"inc6000"	"inc8000"	"inc10000"	"inc12000"	"inc14000"	"inc16000"	"inc18000"	"inc20000"	"inc22000"	"inc24000"	"inc26000"	"inc28000"	"inc30000"	"inc32000"	"inc34000"	"inc36000"	"inc38000"	"inc40000"	"inc42000"	"inc44000"	"inc46000"	"inc48000"	"inc50000"	"inc52000"	"inc54000"	"inc56000"	"inc58000"	"inc60000"	"inc62000"	"inc64000"	"inc66000"	"inc68000"	"inc70000"	"inc72000"	"inc74000"	"inc76000"	"inc78000"	"inc80000"	"inc82000"	"inc84000"	"inc86000"	"inc88000"	"inc90000"	"inc92000"	"inc94000"	"inc96000"	"inc98000"	"inc100000"	"inc102000"	"inc104000"	"inc106000"	"inc108000"	"inc110000"	"inc112000"	"inc114000"	"inc116000"	"inc118000"	"inc120000"	"inc122000"	"inc124000"	"inc126000"	"inc128000"	"inc130000"	"inc132000"	"inc134000"	"inc136000"	"inc138000"	"inc140000"	"inc142000"	"inc144000"	"inc146000"	"inc148000"	"inc150000"	"inc152000"	"inc154000"	"inc156000"	"inc158000"	"inc160000"	"inc162000"	"inc164000"	"inc166000"	"inc168000"	"inc170000"	"inc172000"	"inc174000"	"inc176000"	"inc178000"	"inc180000"	"inc182000"	"inc184000"	"inc186000"	"inc188000"	"inc190000"	"inc192000"	"inc194000"	"inc196000"	"inc198000"	"inc200000"
"1966"	"18_34_1"	"48149.55"	"28707.7921"	"4396.1596"	"9812.5181"	"6390.8376"	"8151.4497"	"12997.2784"	"21639.0287"	"35836.0572"	"26738.3691"	"22032.8319"	"8787.1351"	"14425.8393"	"8381.799"	"40161.751"	"18409.8751"	"26462.5929"	"8395.6519"	"22849.4094"	"14523.9258"	"43121.2304"	"30014.6955"	"14303.945"	"42883.4481"	"17116.1289"	"42165.2997"	"15920.5089"	"40386.0337"	"20525.353"	"33363.7266"	"9330.019"	"39914.0385"	"13974.3245"	"11577.6085"	"23037.3115"	"14049.8837"	"15206.6017"	"10387.874"	"35346.4425"	"11969.0664"	"6579.2138"	"3616.6329"	"14343.4217"	"9745.4664"	"4480.3474"	"20008.1984"	"7157.1214"	"7928.8718"	"5008.7933"	"6413.8337"	"4325.3609"	"0"	"3305.7218"	"7990.4822"	"0"	"4706.6875"	"820.9147"	"11082.28"	"0"	"4398.192"	"6247.2181"	"871.6119"	"1792.9277"	"1781.112"	"2708.7314"	"954.9828"	"0"	"1517.1916"	"0"	"4281.3103"	"3138.2488"	"776.4556"	"0"	"0"	"793.2084"	"5285.3716"	"0"	"0"	"0"	"0"	"0"	"2685.2562"	"1595.7413"	"0"	"0"	"0"	"0"	"2457.4135"	"0"	"0"	"0"	"0"	"0"	"1823.0748"	"0"	"0"	"0"	"0"	"0"	"0"	"5099.3656"
"1966"	"18_34_0"	"26000.76"	"1723957.3068"	"1138129.5355"	"959522.5263"	"799282.0963"	"1073712.6186"	"529374.2192"	"820215.0851"	"1029111.3339"	"547296.442"	"836902.8208"	"689521.5277"	"1187005.2018"	"649370.801"	"1015570.6056"	"568152.5956"	"1066086.6492"	"559083.8491"	"771403.7819"	"517480.6837"	"1395254.881"	"647307.9603"	"460821.105"	"933787.494"	"405797.9303"	"577883.7953"	"287293.5324"	"645466.198"	"309444.4009"	"385657.8019"	"202023.3109"	"500326.5203"	"175354.7325"	"128945.5615"	"252817.5974"	"135758.1956"	"102245.7355"	"69099.2163"	"295092.6572"	"52888.0188"	"79642.1219"	"22789.8163"	"94828.693"	"21779.5671"	"27866.0145"	"85702.4567"	"43243.5435"	"23905.8374"	"6498.208"	"30980.4805"	"1706.9597"	"15339.0662"	"4423.296"	"18839.2511"	"5671.7311"	"6946.9545"	"804.7821"	"35664.3732"	"5151.5808"	"840.184"	"19354.3683"	"3865.9688"	"6711.9455"	"1908.5788"	"0"	"7046.6596"	"0"	"2596.5802"	"8014.7088"	"477.6528"	"4946.7897"	"3621.3985"	"0"	"0"	"3692.767"	"0"	"6881.3954"	"0"	"1910.7826"	"0"	"0"	"0"	"2130.9751"	"0"	"0"	"1852.8436"	"837.37"	"0"	"989.8854"	"1884.1505"	"2101.2113"	"0"	"0"	"1022.6548"	"0"	"0"	"4470.2413"	"0"	"0"	"0"	"6203.7574"
"1966"	"35_9999_1"	"69366.81"	"25959.2507"	"8289.9354"	"8236.389"	"12501.0876"	"18035.0186"	"11444.3373"	"8022.0413"	"16269.4592"	"14413.1409"	"13662.0064"	"11638.4371"	"18272.7456"	"10714.7057"	"10562.4979"	"10800.2401"	"38280.0766"	"16081.31"	"33616.0582"	"20026.2221"	"57654.1781"	"34984.9299"	"30300.5277"	"54059.1291"	"33104.8391"	"49044.7031"	"27480.7443"	"83031.2347"	"40944.0112"	"60674.5926"	"47696.6185"	"54052.3614"	"46049.1761"	"36556.1623"	"66256.0787"	"45739.0867"	"28900.3085"	"24118.6719"	"103012.6041"	"31716.7735"	"33589.431"	"32916.2056"	"42442.1252"	"12774.6702"	"18630.1128"	"54372.355"	"26756.1107"	"21410.112"	"12509.9785"	"33625.5894"	"8318.9882"	"19639.419"	"12831.9185"	"46528.907"	"14482.5935"	"4939.2956"	"1759.9414"	"48507.311"	"11076.7024"	"9826.7494"	"34160.0565"	"14590.7404"	"11755.0364"	"4398.6659"	"18626.5374"	"5406.1969"	"5899.6898"	"2680.4755"	"23044.2658"	"4459.6459"	"16412.3325"	"10274.3461"	"3491.9295"	"2529.0141"	"3511.3551"	"43623.6092"	"11090.606"	"10741.1665"	"3601.1963"	"10865.068"	"1787.1132"	"5851.8166"	"1811.4708"	"762.3201"	"0"	"2198.869"	"4473.0956"	"1899.4459"	"0"	"2634.1707"	"4121.1043"	"4729.2498"	"1903.3946"	"2910.2195"	"37630.3767"	"0"	"4385.6046"	"4445.3138"	"875.5455"	"1851.0029"	"110217.0097"
"1966"	"35_9999_0"	"35556.59"	"1630205.9643"	"908100.4837"	"943951.0605"	"911802.5246"	"1351824.9316"	"878061.7637"	"1122295.091"	"1458525.8053"	"946175.5222"	"1238952.471"	"1159792.5716"	"1764570.3129"	"933177.416"	"1489624.3812"	"1043296.6958"	"1764691.045"	"925457.6723"	"1308275.1364"	"963248.1537"	"2456099.4596"	"1182239.2636"	"836769.5591"	"1751629.5731"	"801809.7129"	"1154011.1424"	"647296.9641"	"1461203.9928"	"760253.1674"	"894380.8171"	"580273.5321"	"1281929.3832"	"569522.3037"	"392578.6592"	"798851.8772"	"392914.9854"	"309086.2322"	"293220.3382"	"966524.0931"	"240345.2195"	"267275.6613"	"131219.4355"	"343340.4156"	"96469.6248"	"140595.7838"	"360812.6962"	"197570.7102"	"128744.7392"	"58797.4215"	"171357.1711"	"71430.2822"	"75824.0166"	"46110.9782"	"108310.3469"	"52930.4659"	"42051.348"	"19419.2111"	"222011.4534"	"64682.9959"	"25614.547"	"130586.0642"	"52042.6608"	"26827.4993"	"13527.3078"	"41106.3555"	"28982.3833"	"15503.5083"	"10759.5985"	"69333.857"	"13348.9471"	"16459.0004"	"14627.4081"	"18914.9971"	"9869.9025"	"11995.5117"	"102456.3015"	"18708.4811"	"21456.6536"	"7320.1818"	"19625.3541"	"7706.2385"	"2790.2414"	"11312.271"	"2759.8423"	"6049.3608"	"5036.8425"	"7972.6804"	"1769.6543"	"2384.9103"	"6123.0291"	"17322.2865"	"7043.7396"	"6674.3348"	"1549.3357"	"58253.458"	"14196.6551"	"3699.9734"	"15490.6941"	"2910.7642"	"7384.48"	"207916.7724"
"2016"	"18_34_1"	"47044.49"	"491609.45"	"153751"	"144778.58"	"159043.76"	"169467.61"	"277906.54"	"244303.98"	"153790.03"	"378111.81"	"273984.08"	"416752.46"	"252451.58"	"421578.73"	"336631.28"	"278994.25"	"572156.12"	"385011.24"	"242454.59"	"644852.87"	"336398.64"	"753354.51"	"381259.18"	"432867.27"	"459422.96"	"387578.19"	"780197.71"	"368053.39"	"180655.48"	"556768.64"	"198135.3"	"609736.86"	"211297.01"	"275993.23"	"255156.08"	"164428.98"	"349083.56"	"156136.89"	"129187.53"	"375960.88"	"136674.67"	"334286.61"	"117705.51"	"127284.02"	"146800.03"	"56742.97"	"217081.03"	"102884.03"	"54249.57"	"110369.35"	"54209.45"	"232080.24"	"73013.83"	"60815.61"	"53041.48"	"60641.1"	"111100.48"	"23825.87"	"18316.38"	"70036.64"	"37029.33"	"119262.11"	"36893.82"	"26936.77"	"70979.33"	"13237.16"	"50988.21"	"35685.16"	"24519.01"	"21205.54"	"3477.54"	"37830.69"	"7823.08"	"28894.42"	"17292.72"	"20311.22"	"108170.04"	"35306.03"	"13546.7"	"18412.83"	"9606.04"	"30013.84"	"2799.3"	"2630.37"	"7149.08"	"6435.14"	"13493.96"	"5680.84"	"8573.85"	"0"	"20071.63"	"21432.05"	"0"	"8910.31"	"5090.57"	"8561"	"0"	"13805.14"	"5457.58"	"10247.11"	"264255.99"
"2016"	"18_34_0"	"21782.14"	"2752882.07"	"1104217.84"	"1726616.9"	"1030151.3"	"1574096.03"	"1671736.57"	"1956793.52"	"973273.91"	"2336615.09"	"1231822.12"	"2382143.46"	"1147893.9"	"2104577.72"	"1214493.42"	"1344675.27"	"1656005.35"	"1179573.86"	"510700.5"	"1527366.94"	"531318.57"	"1232902.94"	"401377.78"	"551610.6"	"380130.71"	"371015.56"	"615999.28"	"374022.72"	"157762.19"	"368699.03"	"178078.55"	"388100.06"	"144449.13"	"211782.67"	"147394.66"	"118454.64"	"185504.92"	"85790.8"	"68252.8"	"180546.3"	"53363.83"	"140886.83"	"48331.19"	"45569.18"	"29313.47"	"22288.34"	"91175.8"	"35903.81"	"12355.45"	"52188.28"	"18035.53"	"101918.03"	"6969.75"	"28968.49"	"10097.07"	"10628.99"	"28226.98"	"8215.91"	"4176.48"	"8981.03"	"11747.08"	"39745.87"	"9561.89"	"19263.02"	"2500.13"	"2312.32"	"15789.2"	"17868.43"	"7047.03"	"5184.88"	"2461.09"	"19081.15"	"0"	"2577.73"	"3551.84"	"1333.22"	"29954.67"	"11945.31"	"5565.02"	"5062.3"	"1901.59"	"7977.48"	"1735.56"	"835.04"	"7143.63"	"7640.2"	"10070.31"	"455.05"	"3599.17"	"7101.77"	"918.06"	"3297.48"	"145.03"	"0"	"502.24"	"0"	"0"	"0"	"4224.34"	"0"	"146641.83"
"2016"	"35_9999_1"	"70000"	"483173.75"	"188887.3"	"267654.23"	"205199.02"	"227597.81"	"305114.94"	"319524.73"	"223176.62"	"491991.86"	"320078.71"	"660402.54"	"316903.88"	"466009.3"	"482276.29"	"411416.61"	"857854.9"	"502578.58"	"439066.33"	"947529.37"	"482673.53"	"1079051.74"	"622531.21"	"729753.57"	"753294.52"	"593276.95"	"1328361.41"	"660666.34"	"481678.38"	"778275.46"	"495810.07"	"1143157.61"	"544544.97"	"572959.3"	"715972.49"	"447666.82"	"914797.23"	"515082.92"	"352770.62"	"1003733.4"	"402814.26"	"978386.59"	"355361.97"	"386429.65"	"470482.17"	"337332.54"	"680337.03"	"356545.63"	"196941.39"	"401921.41"	"324071.4"	"1126086.35"	"396697.19"	"303371.05"	"321484.46"	"220108.93"	"405461.49"	"249597.39"	"152999.8"	"314692.09"	"146071.19"	"519034.86"	"227340.07"	"234597.16"	"301113.75"	"179606.87"	"312500.93"	"168989.91"	"80458.97"	"207638.42"	"105221.51"	"221338.57"	"137581.17"	"84642.78"	"150131.13"	"106805.04"	"586273.76"	"201296.27"	"118899.01"	"176844.2"	"76352.28"	"251549.49"	"103368.92"	"71140.37"	"116819.39"	"64612.5"	"135970.09"	"64393.44"	"60007.43"	"102553.53"	"59149.26"	"119235.49"	"69383.16"	"34325.97"	"47277.66"	"44557.16"	"87693.19"	"40241.26"	"43015.53"	"41696.87"	"2938262.86"
"2016"	"35_9999_0"	"35437.71"	"1746085.95"	"532278.01"	"848508.5"	"559692.63"	"1064656.76"	"1271891.6"	"1584325.31"	"1012802.5"	"2316693.92"	"1449732.08"	"3007788.14"	"1473928.84"	"2915006.6"	"1940349.72"	"2079599.61"	"3067468.65"	"2170445.58"	"1155298.37"	"2798933.51"	"1214176.78"	"2858756.93"	"1210797.76"	"1473860.13"	"1511356.68"	"1141967.12"	"2192151.39"	"1189152.01"	"686358.14"	"1218976.23"	"608536.99"	"1646988.54"	"598964.13"	"809838.11"	"767168.17"	"471146.55"	"838594.08"	"559616.17"	"336302.12"	"870166.96"	"374684.41"	"747544.4"	"294677.42"	"372825.01"	"353188.65"	"256165.63"	"473232.64"	"206419.17"	"177011.45"	"237785.75"	"195127.51"	"565353.88"	"173207.89"	"168546.32"	"130789.42"	"120883.6"	"212587.02"	"110398.1"	"75890.32"	"134283.45"	"96932.24"	"242913.42"	"65798.09"	"106373.92"	"93773.05"	"80248.55"	"117187.39"	"46855.75"	"46117.53"	"72142.67"	"27600.78"	"118371.08"	"36468.23"	"38816.94"	"45744.52"	"24815.46"	"206697.1"	"53444.53"	"20903.49"	"39630.19"	"28422.28"	"66677.68"	"27564.62"	"9585.89"	"29087.11"	"11768.76"	"43126.69"	"5856.35"	"7277.62"	"36211.18"	"10265.43"	"47688.89"	"24783.9"	"4021.77"	"16095.97"	"6334.23"	"12394.63"	"3683.28"	"10487.6"	"15140.07"	"579615.68"
